"rle", "population", "period", "dx", "dy", "speed", "type", "count", "probability"
"3o2$bo$bo2$bo$bo", 7, 1650, 2, 0, 0.0012121212121212121, "orthogonal", 44, 4.047077221066332e-7
"bo3$bo$2bo4$b2o$2bo$bo", 7, 952, 4, 0, 0.004201680672268907, "orthogonal", 41, 3.771140137811809e-7
"2bo$b2o$o$o$2bo2$o", 7, 336, 4, 0, 0.011904761904761904, "orthogonal", 241, 0.000002216694568811332
"2bo2bo$bo2bo2bob2o", 7, 2490, 2, 0, 0.0008032128514056225, "orthogonal", 2, 1.839580555030151e-8
"o3b2o$5b2o$3bo2bo", 7, 417, 1, 1, 0.002398081534772182, "diagonal", 18, 1.6556224995271358e-7
"bo3bo$bo$bo$3bo$bobo", 7, 734, 2, 2, 0.0027247956403269754, "diagonal", 18, 1.6556224995271358e-7
"b2o2$b2o2$b2o$2bo", 7, 1790, 2, 0, 0.0011173184357541898, "orthogonal", 6, 5.518741665090453e-8
"b2o2$2bo$b2o3$bo$2bo", 7, 1372, 4, 0, 0.0029154518950437317, "orthogonal", 70, 6.438531942605529e-7
"2b2o$2o2$3bo$3bo2$o2bo", 8, 6338, 4, 0, 0.0006311139160618492, "orthogonal", 0, 0
"b2o3b3o2$2bo$2bo$3bo", 8, 220, 2, 0, 0.00909090909090909, "orthogonal", 2, 1.839580555030151e-8
"3o$2o3$bo$o3$o", 8, 3272, 4, 0, 0.0012224938875305623, "orthogonal", 0, 0
"5bo$4bo$4bo$bo$4b2o4$bo3bo", 8, 2082, 2, 0, 0.0009606147934678194, "orthogonal", 0, 0
"$o4b2o2$3bo$obo3b2o", 8, 460, 2, 2, 0.004347826086956522, "diagonal", 0, 0
"o3b2o$bo3b3o2$bo", 8, 1517, 1, 1, 0.0006591957811470006, "diagonal", 0, 0
"bo4$bo2$bo$bo$2bo$b2o$bo", 8, 1962, 2, 0, 0.0010193679918450561, "orthogonal", 0, 0
"b2o2bo$3bobo$bo2bo4$3bo", 8, 1177, 1, 1, 0.0008496176720475786, "diagonal", 0, 0
"4bo3bo$o$2bob2o2bo$8bo", 8, 1232, 2, 0, 0.0016233766233766235, "orthogonal", 1, 9.197902775150754e-9
"2b2ob2o3bo$o3b2o", 8, 2260, 2, 0, 0.0008849557522123894, "orthogonal", 0, 0
"8bo$4bo$3bobo2$bobob2o", 8, 11006, 4, 4, 0.00036343812465927677, "diagonal", 0, 0
"4bobo$bo4bo$5bo$2bo4bo$5bo", 8, 1068, 2, 2, 0.0018726591760299626, "diagonal", 0, 0
"3bo3$bobo$3bo2$2b2o$3bo$bo", 8, 886, 2, 0, 0.002257336343115124, "orthogonal", 0, 0
"2bo2$bo$bo$2bo$3bo2$bobo$bo", 8, 1612, 4, 0, 0.0024813895781637717, "orthogonal", 1, 9.197902775150754e-9
"$o$3b3o$o3bo$4bo$4bo", 8, 4986, 4, 4, 0.0008022462896109105, "diagonal", 0, 0
"bo$2bo$3bo$5bo$3bobo2$2bo2bo", 8, 657, 1, 1, 0.0015220700152207, "diagonal", 0, 0
"5bo$o$2bo$bo$obo$2bobo", 8, 1664, 4, 0, 0.002403846153846154, "orthogonal", 0, 0
"o$b2o2$o$2b2o$bo$3bo", 8, 4047, 3, 3, 0.0007412898443291327, "diagonal", 0, 0
"4bo$2o2$2b2o$3bo2b2o", 8, 533, 1, 1, 0.001876172607879925, "diagonal", 0, 0
"6bo$bo2bobo$o4bo$o4bo", 8, 1702, 6, 0, 0.0035252643948296123, "orthogonal", 1, 9.197902775150754e-9
"bo$2bo2$bo$2bo3$2bo$bo$2bo$bo", 8, 780, 4, 0, 0.005128205128205128, "orthogonal", 2, 1.839580555030151e-8
"bobo2$3bo$bo$bobo3$b2o", 8, 338, 2, 0, 0.005917159763313609, "orthogonal", 1, 9.197902775150754e-9
"4o4$o2bo$o2bo", 8, 864, 2, 0, 0.0023148148148148147, "orthogonal", 0, 0
"bobo$3bo$2bo2$2bo$2b2o$bo", 8, 562, 2, 0, 0.0035587188612099642, "orthogonal", 1, 9.197902775150754e-9
"bo3$b3o3$b2o$bo3$bo", 8, 3744, 4, 0, 0.0010683760683760685, "orthogonal", 0, 0
"2o$2bo$bo$2bo$2bo3$2o", 8, 684, 4, 0, 0.005847953216374269, "orthogonal", 1, 9.197902775150754e-9
"b3o$o3b2o2$bo$2bo", 8, 9046, 2, 0, 0.00022109219544550078, "orthogonal", 2, 1.839580555030151e-8
"bo4bo2$2bo2bo$bo$3b2obo", 8, 3766, 2, 0, 0.0005310674455655868, "orthogonal", 0, 0
"3bo$bobo2$4bo$3bo$2bo$2b2o", 8, 782, 2, 0, 0.0025575447570332483, "orthogonal", 0, 0
"2bo2b2o$bo3bo$bo$3bo$5bo", 8, 6510, 2, 0, 0.00030721966205837174, "orthogonal", 1, 9.197902775150754e-9
"$2bo2bo$4bo2bo$o$bo2bobo", 8, 1843, 1, 1, 0.0005425935973955507, "diagonal", 0, 0
"2bo$bo$3bobo$obo$3b2o", 8, 247, 1, 1, 0.004048582995951417, "diagonal", 0, 0
"$bo$bo$b2o$4bo$4b2o$3bo", 8, 2967, 1, 1, 0.0003370407819346141, "diagonal", 0, 0
"b3o$2bo$2bo$3bo$3b2o", 8, 614, 4, 0, 0.006514657980456026, "orthogonal", 2, 1.839580555030151e-8
"bo2b2o$2bobo$2bo$4bo$3bo", 8, 4130, 2, 0, 0.00048426150121065375, "orthogonal", 1, 9.197902775150754e-9
"o$bo3$bo$bo$bo$o$o$o", 8, 7550, 2, 0, 0.00026490066225165563, "orthogonal", 0, 0
"4bo$ob2o$4bo$3bobo$4bo", 8, 4228, 2, 0, 0.0004730368968779565, "orthogonal", 0, 0
"bo$bo2$3bo$b2o2$b2o$bo", 8, 726, 2, 0, 0.0027548209366391185, "orthogonal", 0, 0
"bo3bo$2bo2bo$b2o2b2o", 8, 110, 2, 0, 0.01818181818181818, "orthogonal", 18, 1.6556224995271358e-7
"obo3$b2o$b2o$bo2$o", 8, 1736, 8, 0, 0.004608294930875576, "orthogonal", 3, 2.7593708325452265e-8
"bo$5bo2$bo$2bob2o$bobo", 8, 1368, 2, 2, 0.0014619883040935672, "diagonal", 1, 9.197902775150754e-9
"b2o$o$obobo$2bo2$3bo", 8, 1132, 2, 0, 0.0017667844522968198, "orthogonal", 0, 0
"2b2o2$o3bo2$b3o$4bo", 8, 202, 2, 0, 0.009900990099009901, "orthogonal", 0, 0
"3b2obo$3bo$6bo$bo$2b2o", 8, 386, 2, 2, 0.0051813471502590676, "diagonal", 4, 3.679161110060302e-8
"2bobobo$3bo$b3o$7bo", 8, 1924, 8, 8, 0.004158004158004158, "diagonal", 2, 1.839580555030151e-8
"bo$2bo2$2o$2bo$bo$2b2o", 8, 2190, 2, 0, 0.0009132420091324201, "orthogonal", 1, 9.197902775150754e-9
"5b3o2$2bo4bo$7bo$bo2bo", 8, 1708, 4, 0, 0.00234192037470726, "orthogonal", 1, 9.197902775150754e-9
"o$o$2bo$3bo$bo$2o$bo", 8, 1650, 2, 0, 0.0012121212121212121, "orthogonal", 0, 0
"$b3o2$3bobo$5bo$bo3bo", 8, 412, 2, 2, 0.0048543689320388345, "diagonal", 1, 9.197902775150754e-9
"2bo2$2o$2b2o$obo$o", 8, 870, 2, 0, 0.0022988505747126436, "orthogonal", 0, 0
"b2o$bo$2bo2bo$3bo$4b2o", 8, 1443, 3, 3, 0.002079002079002079, "diagonal", 1, 9.197902775150754e-9
"$b2o$2bob2o$5bo$4bo$4bo", 8, 2657, 1, 1, 0.0003763643206624012, "diagonal", 0, 0
"bo2bo2$2bobo$4bo$b2obo", 8, 350, 2, 0, 0.005714285714285714, "orthogonal", 0, 0
"obo2bo$o3b2o$5bo$3bo", 8, 1586, 2, 0, 0.0012610340479192938, "orthogonal", 1, 9.197902775150754e-9
"bo3bo$bo3bo$b2o$3bobo", 8, 165, 1, 1, 0.006060606060606061, "diagonal", 2, 1.839580555030151e-8
"o$bo$2bo3b2o$2b2o2bo", 8, 3286, 4, 0, 0.0012172854534388314, "orthogonal", 0, 0
"2bo$5bo$o2b2o$bo$2o", 8, 410, 2, 2, 0.004878048780487805, "diagonal", 2, 1.839580555030151e-8
"b2o$obo$2bo3$b2o$2bo", 8, 1784, 8, 0, 0.004484304932735426, "orthogonal", 4, 3.679161110060302e-8
"bobo$2bo$4bo$bo3bo$b2o", 8, 1970, 6, 0, 0.003045685279187817, "orthogonal", 1, 9.197902775150754e-9
"o3bo$2b2o2bo$b2o$o", 8, 1388, 4, 0, 0.002881844380403458, "orthogonal", 0, 0
"o$o2$bo4$o$o2$o$2o", 8, 5474, 6, 0, 0.0010960906101571063, "orthogonal", 0, 0
"3bo$2bobo2$3bo2$bo$2bobo$4bo", 8, 3608, 4, 0, 0.0011086474501108647, "orthogonal", 0, 0
"2bo$obo$bo3$bo$obo$2bo", 8, 28, 2, 2, 0.07142857142857142, "diagonal", 214, 0.0000019683511938822614
"4bo2$b2o2$2b2o$3bo$3bo$4bo", 8, 6578, 2, 0, 0.0003040437823046519, "orthogonal", 0, 0
"b2obo$3bo$obo$4bo$3bo", 8, 242, 4, 0, 0.01652892561983471, "orthogonal", 8, 7.358322220120604e-8
"2bobo3$3b2o$4bo$b2obo", 8, 2382, 2, 0, 0.0008396305625524769, "orthogonal", 0, 0
"b3o2$b2o$2bo$b2o", 8, 605, 1, 1, 0.001652892561983471, "diagonal", 0, 0
"o2$2bo$bo$o$o$o2$bo$2bo", 8, 2144, 2, 0, 0.0009328358208955224, "orthogonal", 2, 1.839580555030151e-8
"bo2bo2$2b2o$4bo$b2obo", 8, 3234, 2, 0, 0.0006184291898577613, "orthogonal", 1, 9.197902775150754e-9
"bo$3b2o$2bobo$2b2o$3bo", 8, 31, 1, 1, 0.03225806451612903, "diagonal", 227, 0.0000020879239299592214
"o$bo$bo$o$o2bo$2bo$3bo", 8, 818, 2, 0, 0.0024449877750611247, "orthogonal", 0, 0
"3bo2bo$4bob2o$bo5bo$3bo", 8, 1229, 1, 1, 0.0008136696501220504, "diagonal", 0, 0
"2b2o$b2obo$bo2bo$2bo", 8, 3746, 4, 4, 0.0010678056593699946, "diagonal", 0, 0
"$5bo$4bo2bo$3bo$3b2o$bo3bo", 8, 2612, 2, 2, 0.0007656967840735069, "diagonal", 0, 0
"bob3o$o$o2b2o", 8, 2850, 2, 0, 0.0007017543859649122, "orthogonal", 0, 0
"$2bo$2o$bo$b3o$bo", 8, 4023, 1, 1, 0.00024857071836937607, "diagonal", 1, 9.197902775150754e-9
"3bo$b2ob2o$bo$3bo2$3bo", 8, 674, 2, 0, 0.002967359050445104, "orthogonal", 4, 3.679161110060302e-8
"o3bo2$b2o$3b2o$3bo$3bo", 8, 270, 2, 2, 0.007407407407407408, "diagonal", 1, 9.197902775150754e-9
"$b2o$b3o2$obo$2bo", 8, 31, 1, 1, 0.03225806451612903, "diagonal", 65, 5.97863680384799e-7
"$bo2b2o$2bo$5bo$3bo3bo2$5bo", 8, 2699, 1, 1, 0.0003705075954057058, "diagonal", 0, 0
"o3bo$obo$6bo$4bobo$4bo", 8, 40, 2, 2, 0.05, "diagonal", 73, 6.714469025860051e-7
"o$2bo2$ob3o$bo$2bo", 8, 490, 2, 0, 0.004081632653061225, "orthogonal", 0, 0
"2bo$o$bobo$bo$obo3$bo", 8, 1704, 8, 0, 0.004694835680751174, "orthogonal", 0, 0
"2bo$b2o3$bobo$b3o", 8, 243, 1, 1, 0.00411522633744856, "diagonal", 0, 0
"o3bo2$o3bo$o2$2b3o", 8, 11468, 8, 0, 0.0006975933031042902, "orthogonal", 0, 0
"bo2bo$bo$bo3bo$bobo$bo", 8, 2341, 3, 3, 0.0012815036309269544, "diagonal", 1, 9.197902775150754e-9
"3bo$2bo$4bo$bo$2bo$2b2o$bo", 8, 524, 4, 0, 0.007633587786259542, "orthogonal", 5, 4.5989513875753774e-8
"b3o$4bo$5bo$2bobo$3bo", 8, 387, 1, 1, 0.002583979328165375, "diagonal", 0, 0
"bobo$bo$obo$o$o2bo", 8, 910, 2, 0, 0.002197802197802198, "orthogonal", 0, 0
"b3o$o$bobo2$4bo$4bo", 8, 890, 4, 4, 0.0044943820224719105, "diagonal", 0, 0
"2b2o$2bo$3bo$b2o3$3bo$2bo", 8, 1288, 4, 0, 0.003105590062111801, "orthogonal", 1, 9.197902775150754e-9
"3b2o$4bo$3b2o$bo2bo2$5bo", 8, 1317, 1, 1, 0.0007593014426727411, "diagonal", 0, 0
"2bo$obo$2bo$2bo$2bo3$bo3$2bo", 8, 2450, 2, 0, 0.0008163265306122449, "orthogonal", 0, 0
"4bo2$3bo$2bobo$4bo$2o$o", 8, 719, 1, 1, 0.0013908205841446453, "diagonal", 0, 0
"2b2o$4bo$2bo$2o$b2o", 8, 188, 4, 0, 0.02127659574468085, "orthogonal", 19, 1.7476015272786434e-7
"2b3obo$o4bobo$5bo", 8, 1996, 2, 0, 0.001002004008016032, "orthogonal", 0, 0
